name,price,image
 Purina Pro Plan Biscuits Light 400gr. - 1 Unidad.,2.99,https://img2.petsonic.com/13408-large_default/purina-pro-plan-biscuits-light-400gr-para-perros.jpg
 Purina Pro Plan Biscuits Light 400gr. - 4 Unidades,11.99,https://img2.petsonic.com/13408-large_default/purina-pro-plan-biscuits-light-400gr-para-perros.jpg
 Purina Pro Plan Biscuits Dental Bar 150gr. - 1 Unidad.,2.8,https://img2.petsonic.com/13407-large_default/purina-pro-plan-biscuits-dental-bar-150gr-para-perros.jpg
 Purina Pro Plan Biscuits Dental Bar 150gr. - 6 Unidades.,16.5,https://img2.petsonic.com/13407-large_default/purina-pro-plan-biscuits-dental-bar-150gr-para-perros.jpg
 Hills Ideal Balance IB Snack Pollo y Manzana - 1 Sobre 227 gr,4.65,https://img1.petsonic.com/17227-large_default/hill-s-ideal-balance-ib-snack-pollo-manzana-para-perros.jpg
 Hills Ideal Balance IB Snack Pollo y Manzana - 1 x 6 sobres 227 gr,18.99,https://img1.petsonic.com/17227-large_default/hill-s-ideal-balance-ib-snack-pollo-manzana-para-perros.jpg
 Hills Ideal Balance IB Snack Pollo y Zanahoria - 1 Sobre 227 gr,4.65,https://img3.petsonic.com/14131-large_default/hill-s-ideal-balance-ib-snack-pollo-zanahoria-para-perros.jpg
 Hills Ideal Balance IB Snack Pollo y Zanahoria - 1 x 6 sobres 227 gr,18.99,https://img3.petsonic.com/14131-large_default/hill-s-ideal-balance-ib-snack-pollo-zanahoria-para-perros.jpg
 Purina Pro Plan Delibakie Hearts - 100 Gr.,1.09,https://img3.petsonic.com/14123-large_default/purina-pro-plan-delibakie-hearts-para-perros.jpg
 Purina Pro Plan Delibakie Hearts - 350 Gr.,1.73,https://img3.petsonic.com/14123-large_default/purina-pro-plan-delibakie-hearts-para-perros.jpg
 Purina Pro Plan Delibakie Rolls - 100 Gr.,0.99,https://img3.petsonic.com/14125-large_default/purina-pro-plan-delibakie-rolls-para-perros.jpg
 Purina Pro Plan Delibakie Biscotti - 90 Gr,0.99,https://img1.petsonic.com/14121-large_default/purina-pro-plan-delibakie-biscotti-para-perros.jpg
 Purina Pro Plan Delibakie Biscotti - 270 Gr,2.49,https://img1.petsonic.com/14121-large_default/purina-pro-plan-delibakie-biscotti-para-perros.jpg
 Purina Pro Plan Adventuros Strips Venado - 90 Gr,1.29,https://img1.petsonic.com/14128-large_default/purina-pro-plan-adventuros-strips-venado-para-perros.jpg
 Purina Pro Plan Adventuros Strips Venado - Pack 6 sobres de 90gr,6.3,https://img1.petsonic.com/14128-large_default/purina-pro-plan-adventuros-strips-venado-para-perros.jpg
 Purina Pro Plan Adventuros Nuggets Jabalí - 90 Gr,1.29,https://img2.petsonic.com/14129-large_default/purina-pro-plan-adventuros-nuggets-jabali-para-perros.jpg
