name,price,image
 Affinity Advance Dental Care Stick Mini - 7 Unidades.,2.24,https://img1.petsonic.com/18855-large_default/affinity-advance-dental-care-stick-mini-para-perros.jpg
 Affinity Advance Dental Care Stick Mini - 28 Unidades,7.16,https://img1.petsonic.com/18855-large_default/affinity-advance-dental-care-stick-mini-para-perros.jpg
 Affinity Advance Dental Care Stick Medium - 7 Unidades.,2.69,https://img1.petsonic.com/18858-large_default/affinity-advance-dental-care-stick-medium-para-perros.jpg
 Affinity Advance Dental Care Stick Medium - 28 Unidades,8.96,https://img1.petsonic.com/18858-large_default/affinity-advance-dental-care-stick-medium-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perro X-Small - 7 Unidades.,1.99,https://img3.petsonic.com/15574-large_default/snack-dentalife-para-perro-x-small.jpg
 Purina Pro Plan Snack Dentalife para Perro X-Small - 21 unidades,4.99,https://img3.petsonic.com/15574-large_default/snack-dentalife-para-perro-x-small.jpg
 Purina Pro Plan Snack Dentalife para Perros Mini - 7 Unidades.,1.69,https://img3.petsonic.com/11184-large_default/purina-pro-plan-snack-dentalife-mini-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Mini - 21 unidades,3.99,https://img3.petsonic.com/11184-large_default/purina-pro-plan-snack-dentalife-mini-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Medianos - 5 Unidades.,1.69,https://img3.petsonic.com/11186-large_default/purina-pro-plan-snack-dentalife-medianos-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Medianos - 15 Unidades.,3.99,https://img3.petsonic.com/11186-large_default/purina-pro-plan-snack-dentalife-medianos-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Grandes - 4 Unidades,1.89,https://img2.petsonic.com/11188-large_default/purina-pro-plan-snack-dentalife-grandes-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Grandes - 12 Unidades.,4.23,https://img2.petsonic.com/11188-large_default/purina-pro-plan-snack-dentalife-grandes-para-perros.jpg
 Pedigree Dentastix 5-10 Kg Sticks Dentales - 7 barritas,2.36,https://img2.petsonic.com/10752-large_default/pedigree-dentastix-5-10-kg-sticks-dentales-para-perros.jpg
 Pedigree Dentastix 5-10 Kg Sticks Dentales - Caja 28 barritas(7x4),8.62,https://img2.petsonic.com/10752-large_default/pedigree-dentastix-5-10-kg-sticks-dentales-para-perros.jpg
